codigo,nome,valor atual,dividend yield,valorizacao_mes_atual,valorizacao_ultmos_12meses
VGIA11, VALORA CRA FDO INV NAS CAD PROD AGRO,10.11,15.01,0.3,50.22,2026-02-13
RURA11, ITAU ASSET RURAL FIAGRO,9.0,14.18,3.33,42.41,2026-02-13
OIAG11, OURINVEST INNOVATION,9.25,21.09,1.65,46.59,2026-02-13
XPCA11, XP CRÉDITO AGRÍCOLA FDO INV FIAGRO IMOBILIÁRIO,8.59,15.56,1.42,48.87,2026-02-13
