Código,Qtd,Preço Médio,Total Investido,Preço Atual,Total,Variação (%),Status
BBDC3,20.0,13.54,270.8,18.05,361.0,33.31,Valorizou
BRAP3,15.0,14.97,224.55,21.53,322.95,43.82,Valorizou
CMIG4,30.0,10.72,321.6,11.56,346.8,7.84,Valorizou
GRND3,68.0,4.96,337.52,4.93,335.24,-0.6,Desvalorizou
ISAE4,10.0,23.3,233.0,28.32,283.2,21.55,Valorizou
ITSA4,20.0,10.95,219.0,13.58,271.6,24.02,Valorizou
JHSF3,30.0,5.45,163.5,9.48,284.4,73.94,Valorizou
LIGT3,52.0,5.33,276.94,5.18,269.36,-2.81,Desvalorizou
SAPR4,60.0,6.81,408.4,8.82,529.2,29.52,Valorizou
XPSF11,10.0,6.16,61.6,6.64,66.4,7.79,Valorizou
KNCA11,1.0,93.53,93.53,97.81,97.81,4.58,Valorizou
OIAG11,25.0,7.63,190.85,9.26,231.5,21.36,Valorizou
TRBL11,2.0,65.66,131.33,70.17,140.34,6.87,Valorizou
XPIN11,3.0,71.34,214.02,79.9,239.7,12.0,Valorizou
GARE11,20.0,8.75,174.95,8.63,172.6,-1.37,Desvalorizou
XPCA11,22.0,7.63,167.92,8.45,185.9,10.75,Valorizou
VGIA11,30.0,8.88,266.4,10.12,303.6,13.96,Valorizou
BRCR11,4.0,45.96,183.84,50.0,200.0,8.79,Valorizou
RURA11,10.0,7.93,79.3,8.76,87.6,10.47,Valorizou
LLY,0.02,4656.69,81.97,5819.24,116.38,24.97,Valorizou
IVV,0.03,3507.26,106.74,3623.05,108.69,3.3,Valorizou
JEPQ,0.33327,295.1,98.35,303.18,101.04,2.74,Valorizou
VICI,0.7,169.46,119.05,151.64,106.15,-10.51,Desvalorizou
BBAS3,10.0,21.03,210.3,25.1,251.0,19.35,Valorizou
CMIN3,44.0,5.26,231.6,6.07,267.08,15.4,Valorizou
REGN,0.0286309,2793.65,79.98,4073.87,116.64,45.83,Valorizou
NVO,0.25,309.37,78.87,248.04,62.01,-19.82,Desvalorizou
NOC,0.02165594,3611.69,78.21,3625.46,78.51,0.38,Valorizou
JNJ,0.06586168,1187.51,78.21,1232.42,81.17,3.78,Valorizou
AAXJ,0.18633478,527.46,98.28,523.04,97.46,-0.84,Desvalorizou
SOXX,0.0480946,1848.9,88.92,1736.54,83.52,-6.08,Desvalorizou
EWJV,0.35352345,221.94,78.46,232.38,82.15,4.7,Valorizou
DXJ,0.09873617,794.65,78.46,841.2,83.06,5.86,Valorizou
ASML,0.01059516,7405.31,78.46,7038.73,74.58,-4.95,Desvalorizou
