Código,Qtd,Preço Médio,Total Investido,Preço Atual,Total,Variação (%),Status
BBDC3,20.0,13.54,270.8,18.42,368.4,36.04,Valorizou
BRAP3,15.0,14.97,224.55,21.4,321.0,42.95,Valorizou
CMIG4,30.0,10.72,321.6,11.51,345.3,7.37,Valorizou
GRND3,68.0,4.96,337.52,4.92,334.56,-0.81,Desvalorizou
ISAE4,10.0,23.3,233.0,27.93,279.27,19.86,Valorizou
ITSA4,20.0,10.95,219.0,13.88,277.6,26.76,Valorizou
JHSF3,30.0,5.45,163.5,9.56,286.84,75.44,Valorizou
LIGT3,52.0,5.33,276.94,5.13,266.76,-3.75,Desvalorizou
SAPR4,60.0,6.81,408.4,9.0,540.0,32.16,Valorizou
XPSF11,10.0,6.16,61.6,6.7,67.0,8.77,Valorizou
KNCA11,1.0,93.53,93.53,99.19,99.19,6.05,Valorizou
OIAG11,25.0,7.63,190.85,9.0,225.0,17.96,Valorizou
TRBL11,2.0,65.66,131.33,69.17,138.34,5.35,Valorizou
XPIN11,3.0,71.34,214.02,80.77,242.31,13.22,Valorizou
GARE11,20.0,8.75,174.95,8.78,175.6,0.34,Valorizou
XPCA11,22.0,7.63,167.92,8.43,185.46,10.48,Valorizou
VGIA11,30.0,8.88,266.4,10.01,300.3,12.73,Valorizou
BRCR11,4.0,45.96,183.84,49.34,197.36,7.35,Valorizou
RURA11,10.0,7.93,79.3,8.83,88.3,11.35,Valorizou
LLY,0.02,4656.69,81.97,5318.36,106.37,14.21,Valorizou
MCHI,0.38,304.15,115.28,333.55,126.75,9.67,Valorizou
IVV,0.03,3507.26,106.74,3619.99,108.6,3.21,Valorizou
TM,0.09,1111.99,97.41,1179.17,106.13,6.04,Valorizou
JEPQ,0.33327,295.1,98.35,310.85,103.6,5.34,Valorizou
VICI,0.7,169.46,119.05,145.98,102.18,-13.86,Desvalorizou
BBAS3,10.0,21.03,210.3,25.5,255.0,21.26,Valorizou
CMIN3,44.0,5.26,231.6,6.13,269.72,16.54,Valorizou
TSM,0.06536289,1279.96,83.66,1763.28,115.25,37.76,Valorizou
REGN,0.0286309,2793.65,79.98,3891.84,111.43,39.31,Valorizou
ASML,0.01,7409.93,78.51,7556.65,75.57,1.98,Valorizou
NVO,0.25,309.37,78.87,308.1,77.03,-0.41,Desvalorizou
NOC,0.02165594,3611.69,78.21,3610.95,78.2,-0.02,Desvalorizou
JNJ,0.06586168,1187.51,78.21,1180.32,77.74,-0.61,Desvalorizou
